"categoryID","categoryName","iconID","published"
"0","#System","","0"
"1","Owner","","0"
"2","Celestial","","1"
"3","Station","","0"
"4","Material","22","1"
"5","Accessories","33","1"
"6","Ship","","1"
"7","Module","67","1"
"8","Charge","","1"
"9","Blueprint","21","1"
"10","Trading","","0"
"11","Entity","","0"
"14","Bonus","0","0"
"16","Skill","33","1"
"17","Commodity","0","1"
"18","Drone","0","1"
"20","Implant","0","1"
"22","Deployable","0","1"
"23","Starbase","0","1"
"24","Reaction","0","1"
"25","Asteroid","","1"
"26","WorldSpace","","0"
"29","Abstract","","0"
"30","Apparel","","1"
"32","Subsystem","","1"
"34","Ancient Relics","","1"
"35","Decryptors","","1"
"39","Infrastructure Upgrades","","1"
"40","Sovereignty Structures","","1"
"41","Planetary Industry","","1"
"42","Planetary Resources","","1"
"43","Planetary Commodities","","1"
"46","Orbitals","","1"
"49","Placeables","","0"
"53","Effects","","0"
"54","Lights","","0"
"59","Cells","","0"
"63","Special Edition Assets","","1"
"65","Structure","","1"
"66","Structure Module","","1"
"87","Fighter","","1"
"91","SKINs","","1"
"2100","Expert Systems","","1"
"2107","Mining","","0"
"2118","Personalization","","1"
"2143","Colony Resources","24296","1"
"2152","QA and Dev Groups","","0"
"350001","Infantry","","0"
